admin,task 1 - aktualizacia zaznamov,2025-12-23,false
reklamacia,task 2 - zabezpecenie pristupu,2025-12-10,false
admin,task 3 - kontrola kvality,2025-11-03,false
admin,task 4 - planovanie stretnutia,2025-08-10,false
reklamacia,task 5 - priprava materialov,2025-04-01,true
admin,task 6 - spracovanie dat,2025-07-12,true
admin,task 7 - planovanie stretnutia,2025-09-11,true
reklamacia,task 8 - riesenie poziadavky,2025-09-17,true
admin,task 9 - priprava materialov,2025-02-02,true
admin,task 10 - kontaktovanie klienta,2025-02-01,false
reklamacia,task 11 - aktualizacia zaznamov,2025-02-09,false
admin,task 12 - riesenie poziadavky,2025-12-01,false
admin,task 13 - spracovanie dat,2025-11-15,false
reklamacia,task 14 - zabezpecenie pristupu,2025-09-28,false
reklamacia,task 15 - kontaktovanie klienta,2025-03-06,false
reklamacia,task 16 - kontrola systemu,2025-10-30,true
admin,task 17 - riesenie poziadavky,2025-02-06,false
admin,task 18 - aktualizacia zaznamov,2025-09-11,false
reklamacia,task 19 - priprava materialov,2025-01-22,false
reklamacia,task 20 - riesenie poziadavky,2025-02-12,false
admin,task 21 - kontaktovanie klienta,2025-10-21,false
admin,task 22 - planovanie stretnutia,2025-08-06,false
admin,task 23 - kontaktovanie klienta,2025-01-02,true
admin,task 24 - kontaktovanie klienta,2025-01-09,false
reklamacia,task 25 - spracovanie dat,2025-09-30,false
reklamacia,task 26 - zabezpecenie pristupu,2025-07-17,true
admin,task 27 - spracovanie dat,2025-04-16,false
reklamacia,task 28 - vystavenie faktury,2025-12-17,false
reklamacia,task 29 - aktualizacia zaznamov,2025-11-01,false
reklamacia,task 30 - priprava materialov,2025-06-27,true
admin,task 31 - vystavenie faktury,2025-12-28,false
admin,task 32 - vystavenie faktury,2025-06-03,true
admin,task 33 - vystavenie faktury,2025-07-16,false
reklamacia,task 34 - vystavenie faktury,2025-02-01,false
admin,task 35 - spracovanie dat,2025-01-14,true
admin,task 36 - riesenie poziadavky,2025-06-26,true
admin,task 37 - kontrola kvality,2025-07-20,true
admin,task 38 - spracovanie dat,2025-12-25,true
reklamacia,task 39 - vystavenie faktury,2025-07-12,false
admin,task 40 - kontaktovanie klienta,2025-07-12,true
reklamacia,task 41 - aktualizacia zaznamov,2025-10-03,true
admin,task 42 - vystavenie faktury,2025-04-13,true
admin,task 43 - aktualizacia zaznamov,2025-09-03,false
reklamacia,task 44 - spracovanie dat,2025-09-04,false
admin,task 45 - zabezpecenie pristupu,2025-04-25,true
admin,task 46 - kontrola kvality,2025-11-24,true
reklamacia,task 47 - aktualizacia zaznamov,2025-09-04,false
reklamacia,task 48 - planovanie stretnutia,2025-09-07,false
reklamacia,task 49 - priprava materialov,2025-09-23,false
admin,task 50 - vystavenie faktury,2025-11-11,false
admin,task 51 - riesenie poziadavky,2025-01-13,false
admin,task 52 - vystavenie faktury,2025-04-07,false
admin,task 53 - aktualizacia zaznamov,2025-03-28,false
reklamacia,task 54 - priprava materialov,2025-06-02,true
reklamacia,task 55 - kontrola kvality,2025-12-22,true
admin,task 56 - spracovanie dat,2025-06-14,false
reklamacia,task 57 - spracovanie dat,2025-07-18,false
reklamacia,task 58 - zabezpecenie pristupu,2025-06-08,false
admin,task 59 - vystavenie faktury,2025-08-26,true
reklamacia,task 60 - priprava materialov,2025-05-03,false
reklamacia,task 61 - planovanie stretnutia,2025-11-23,true
admin,task 62 - aktualizacia zaznamov,2025-03-08,false
admin,task 63 - kontaktovanie klienta,2025-04-02,false
admin,task 64 - aktualizacia zaznamov,2025-09-13,false
admin,task 65 - aktualizacia zaznamov,2025-02-24,false
reklamacia,task 66 - kontaktovanie klienta,2025-02-22,false
reklamacia,task 67 - planovanie stretnutia,2025-05-11,true
reklamacia,task 68 - kontrola systemu,2025-07-12,false
reklamacia,task 69 - planovanie stretnutia,2025-08-30,false
admin,task 70 - kontrola systemu,2025-12-12,false
reklamacia,task 71 - spracovanie dat,2025-05-28,true
admin,task 72 - kontrola kvality,2025-12-24,true
reklamacia,task 73 - kontrola kvality,2025-03-17,false
reklamacia,task 74 - kontrola systemu,2025-02-12,true
admin,task 75 - spracovanie dat,2025-10-12,false
admin,task 76 - kontrola systemu,2025-11-18,false
reklamacia,task 77 - spracovanie dat,2025-08-01,false
admin,task 78 - spracovanie dat,2025-04-23,false
admin,task 79 - riesenie poziadavky,2025-04-19,true
reklamacia,task 80 - kontrola systemu,2025-02-26,true
admin,task 81 - spracovanie dat,2025-11-12,false
admin,task 82 - aktualizacia zaznamov,2025-05-23,false
admin,task 83 - kontaktovanie klienta,2025-11-17,false
reklamacia,task 84 - riesenie poziadavky,2025-07-30,false
reklamacia,task 85 - zabezpecenie pristupu,2025-08-24,false
admin,task 86 - kontrola kvality,2025-08-12,false
reklamacia,task 87 - kontrola systemu,2025-09-25,false
admin,task 88 - kontrola kvality,2025-01-17,false
admin,task 89 - spracovanie dat,2025-02-08,false
reklamacia,task 90 - spracovanie dat,2025-03-04,true
reklamacia,task 91 - planovanie stretnutia,2025-09-26,false
reklamacia,task 92 - kontrola systemu,2025-05-04,false
admin,task 93 - priprava materialov,2025-02-14,true
admin,task 94 - spracovanie dat,2025-08-10,true
admin,task 95 - vystavenie faktury,2025-12-03,true
reklamacia,task 96 - planovanie stretnutia,2025-01-12,false
reklamacia,task 97 - zabezpecenie pristupu,2025-05-25,false
admin,task 98 - kontrola kvality,2025-02-15,true
admin,task 99 - kontrola systemu,2025-01-11,false
reklamacia,task 100 - planovanie stretnutia,2025-06-02,true
